user_screen_name,created_at,text,hashtags,user_name,user_location,retweet_count,favorite_count
yash_jagani,2023-01-05 19:25:47+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Yash Jagani,,104,0
yogeshcapri,2023-01-05 18:59:29+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],░You░See░,भारत,104,0
bhaarat0111,2023-01-05 18:56:14+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Bharat Desh,,104,0
Reckless32Singh,2023-01-05 18:53:43+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Singh,दिल्ली,104,0
1420kunal,2023-01-05 18:41:38+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],#ChineseVirus,Mumbai,104,0
Kamal_Sharma24,2023-01-05 18:36:47+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Kamal Sharma,India,104,0
Maynika9,2023-01-05 18:14:37+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Koffee with Maynika,,104,0
Traveller_Makk,2023-01-05 17:47:41+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Anil Nair,,104,0
BrElly255,2023-01-05 17:39:26+00:00,"RT @DrDeepikaINC: Successfully wasted 12 months of 2021

Under the leadership of Modi Ji

#MannKiBaat #विकास_की_मेट्रो #मोदी_है_तो_बर्बादी_…","['MannKiBaat', 'विकास_की_मेट्रो']",Elly AM🇹🇿,"Engalaon, Tanzania ",75,0
theGangadhara,2023-01-05 17:37:29+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Vishwa Gangadhara,,104,0
suleko69,2023-01-05 17:35:30+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],suleko thoko,,104,0
BhakriGirish,2023-01-05 17:34:07+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],GIRISH BHAKRI,,104,0
SaurabhG0yal,2023-01-05 17:33:56+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Saurabh Goyal,,104,0
yashdeeparya,2023-01-05 17:31:34+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],YASHDEEP SINGH ARYA,,104,0
kjyotiranjan,2023-01-05 17:24:14+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],कुमार ज्योति रंजन,भारत,104,0
RaghavInd882,2023-01-05 17:23:57+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Raghav A,,104,0
ikrishkrishna,2023-01-05 17:21:15+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Krishna,Newyork,104,0
Mehra3366,2023-01-05 17:18:01+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Pawan Mehra,,104,0
Vlsnse009,2023-01-05 17:13:50+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],VLSNSE009,,104,0
Socalgreatagain,2023-01-05 16:51:14+00:00,"RT @SiinghGurjot: Amazing moment ✊🏼
#काले_क़ानून_वापिस_लो
#Jumla_Nahin_MSP_Do #NoFarmer_NoFood
#ਕਿਸਾਨੀ_ਜਿੱਤੂ_ਮੋਦੀ_ਹਾਰੂ #NoVoteToBJP
#FreeDe…","['काले_क़ानून_वापिस_लो', 'Jumla_Nahin_MSP_Do', 'NoFarmer_NoFood', 'ਕਿਸਾਨੀ_ਜਿੱਤੂ_ਮੋਦੀ_ਹਾਰੂ', 'NoVoteToBJP']",Make California Great again.,,14,0
trueindian1978,2023-01-05 16:46:35+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],An Indian   🇮🇳,HINDUSTAN ,104,0
spirit_etrnl10,2023-01-05 16:27:13+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],ಗುರುದತ್ತ || Gurudath || गुरुदत्त 🇮🇳,"Jambudweepa, BharataKhanda",104,0
SpankHoly,2023-01-05 16:26:31+00:00,"RT @ANI: #WATCH | Delhi: Protestors attacked Police at Red Fort, earlier today. #FarmersProtest https://t.co/LRut8z5KSC","['WATCH', 'FarmersProtest']",Undefined Variable,Bharat.,10897,0
kirankumargoli,2023-01-05 16:20:40+00:00,"RT @jsuryareddy: Tension erupts after #FarmersProtest in #Kamareddy and tried to siege of the Collectorate office, after broke police barri…","['FarmersProtest', 'Kamareddy']",Kiran Goli,India,3,0
DeyniKaushal,2023-01-05 16:09:54+00:00,"RT @ANI: #WATCH | Delhi: Protestors attacked Police at Red Fort, earlier today. #FarmersProtest https://t.co/LRut8z5KSC","['WATCH', 'FarmersProtest']",Deyni kaushal,,10897,0
devnupur,2023-01-05 16:06:07+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Bijender Singh,,104,0
vashishtvp,2023-01-05 15:53:14+00:00,"RT @sidhuvarinder61: @jagpreetmaan20 Baki #FarmersProtest vele me ta iko kam kita Be careful of BJP IT CELL 

Te Hun menu lagda double karn…",['FarmersProtest'],Er. V P Vashisht,"Kapurthala, Punjab - INDIA",1,0
vashishtvp,2023-01-05 15:53:11+00:00,"RT @isunilkataria: Once denied entry into #india for supporting #FarmersProtest, Dr. Darshan Singh Dhaliwal (US) now picked for ‘Pravasi Bh…","['india', 'FarmersProtest']",Er. V P Vashisht,"Kapurthala, Punjab - INDIA",1,0
vashishtvp,2023-01-05 15:53:01+00:00,RT @John_Connor_77: @MumbaichaDon @arunpudur And add 3 crore more M population.. The Centre can't deal with those already here #ShaheenBagh…,['ShaheenBagh'],Er. V P Vashisht,"Kapurthala, Punjab - INDIA",1,0
vashishtvp,2023-01-05 15:52:41+00:00,"RT @PoeticJFdn: Still I Rise, #FarmersProtest mural, Calgary.

Image Source: @CBCNews 

#pjfmurals #FarmersProtest https://t.co/29vMVAfYHW","['FarmersProtest', 'pjfmurals', 'FarmersProtest']",Er. V P Vashisht,"Kapurthala, Punjab - INDIA",1,0
vashishtvp,2023-01-05 15:52:31+00:00,RT @AshwaniR2: @SPrabhaker UCC is a dream now after what happens during CAA and #FarmersProtest .,['FarmersProtest'],Er. V P Vashisht,"Kapurthala, Punjab - INDIA",1,0
John_Connor_77,2023-01-05 15:48:17+00:00,@MumbaichaDon @arunpudur And add 3 crore more M population.. The Centre can't deal with those already here… https://t.co/uZKCusp9tv,[],John Connor,"Miami, FL",1,3
